"Что такое абелева (коммутативная) группа?","Группа \( (G,\otimes) \), в которой операция коммутативна: \( \forall x,y\in G:\; x\otimes y = y\otimes x \). Например: \( (\mathbb{Z}, +) \)."
"Дайте определение аффинного подпространства.","Множество вида \( U = x_0 + V_0 = \{\, x_0 + v \mid v \in V_0 \,\} \), где \( V_0 \) — векторное подпространство."
"Что такое аффинное подпространство?","Множество вида \( U = x_0 + V_0 = \{\, x_0 + v \mid v \in V_0 \,\} \), где \( V_0 \) — векторное подпространство."
"Что такое аффинное пространство?","Множество точек \( A \) с векторным пространством \( V \) и действием \( +:A\times V\to A \); эквивалентно: \( \forall x,y\in A\, \exists!\, v\in V:\; y = x + v \)."
"Что такое базис векторного пространства?","Линейно независимое порождающее множество; каждый \( v\in V \) единственно представим как линейная комбинация базисных векторов, \( v=\sum_i \alpha_i b_i \)."
"Дайте определение векторного пространства над \( \mathbb{R} \).","\( (V,+) \) — абелева группа и для всех \( x,y\in V,\ \lambda,\psi\in\mathbb{R} \): \( \lambda(x+y)=\lambda x+\lambda y \), \( (\lambda+\psi)x=\lambda x+\psi x \), \( \lambda(\psi x)=(\lambda\psi)x \), \( 1\cdot x=x \)."
"Критерий подпространства: когда \( U\subseteq V \) — подпространство?","Если \( U\neq\varnothing \) и замкнуто: \( \forall x,y\in U:\ x+y\in U \) и \( \forall \lambda\in\mathbb{R},x\in U:\ \lambda x\in U \)."
"Назовите три элементарных преобразования строк.","Перестановка строк; умножение строки на ненулевой скаляр; прибавление к строке другой строки, умноженной на скаляр."
"Дайте определение группы.","Структура \( (G,\otimes) \) с аксиомами: замыкание; ассоциативность; нейтральный элемент \( e \); обратный элемент \( x^{-1} \). Формально: \( \forall x,y\in G:\ x\otimes y\in G \); \( (x\otimes y)\otimes z=x\otimes(y\otimes z) \); \( \exists e:\ x\otimes e=e\otimes x=x \); \( \forall x\, \exists x^{-1}:\ x\otimes x^{-1}=x^{-1}\otimes x=e \)."
"Что такое единичная матрица \( I_n \)?","Квадратная матрица \( n\times n \) с 1 на главной диагонали и 0 вне её. Пример: \( I_2=\begin{bmatrix}1&0\\ 0&1\end{bmatrix} \)."
"Как связаны координаты вектора в старом и новом базисах через матрицу перехода \( P \) (от \( \mathcal{B} \) к \( \mathcal{B}' \))?","\( [\mathbf v]_{\mathcal B} = P\, [\mathbf v]_{\mathcal B'} \)."
"Дайте компактный критерий подпространства для \( U\subseteq V \).","\( \forall \lambda,\mu\in\mathbb{R},\ \forall x,y\in U:\ \lambda x+\mu y\in U \)."
"Определение линейной независимости векторов \( x_1,\ldots,x_k \).","Единственная комбинация, дающая ноль, — тривиальная: из \( \sum_{i=1}^k \lambda_i x_i=\mathbf 0 \) следует \( \lambda_1=\cdots=\lambda_k=0 \)."
"Дайте определение линейного отображения \( \Phi:V\to W \).","\( \Phi(\lambda x+\psi y)=\lambda \Phi(x)+\psi \Phi(y) \) для всех \( x,y\in V,\ \lambda,\psi\in\mathbb{R} \)."
"Что такое матрица \( A\in\mathbb{R}^{m\times n} \)?","Прямоугольная таблица чисел с \( m \) строками и \( n \) столбцами; элемент — \( a_{ij} \)."
"Как построить матрицу \( A_\Phi \) линейного отображения \( \Phi:V\to W \) в базисах \( \mathcal{B},\mathcal{C} \)?","В \( j \)-м столбце — координаты \( \Phi(b_j) \) в базисе \( \mathcal{C} \): \( \Phi(b_j)=\sum_{i=1}^m a_{ij} c_i \)."
"Сформулируйте теорему о ранге (rank–nullity) для \( \Phi:V\to W \).","\( \dim \Ker \Phi + \dim \Im \Phi = \dim V \)."
"Дайте определение обратной матрицы \( A^{-1} \).","Матрица, удовлетворяющая \( AA^{-1}=I=A^{-1}A \) (существует только для квадратной \( A \))."
"Что такое полная линейная группа \( GL(n,\mathbb{R}) \)?","Множество всех обратимых матриц \( n\times n \): \( GL(n,\mathbb{R})=\{A\in\mathbb{R}^{n\times n}\mid \det A\ne 0\} \)."
"Как с помощью «приёма с −1» получить базис \( \Ker(A) \) из RREF матрицы \( A \)?","Добавьте строки с \( -1 \) в позиции свободных столбцов; столбцы, где на диагонали стоит \( -1 \), образуют базис решений \( Ax=\mathbf 0 \)."
"Дайте формулу псевдообратной \( A^+ \) при линейно независимых столбцах \( A\in\mathbb{R}^{m\times n} \).","\( A^+=(A^\top A)^{-1}A^\top \in \mathbb{R}^{n\times m} \)."
"Что такое ранг матрицы \( A \)?","\( \mathrm{rank}(A)=\dim \Im(A) \) — число линейно независимых столбцов (равно рангу по строкам)."
"Что такое расширенная матрица системы \( Ax=b \)?","Матрица \( [A\,|\,b] \in \mathbb{R}^{m\times(n+1)} \), объединяющая коэффициенты и правые части; над ней выполняют преобразования строк."
"Дайте определение симметричной матрицы.","Квадратная матрица, равная транспонированной: \( A=A^\top \) (то есть \( a_{ij}=a_{ji} \))."
"Критерий совместности системы \( Ax=b \) через ранги?","\( Ax=b \) совместна тогда и только тогда, когда \( \mathrm{rank}(A)=\mathrm{rank}([A\,|\,b]) \)."
"Как определяется сумма матриц \( A,B\in\mathbb{R}^{m\times n} \)?","Покомпонентно: \( (A+B)_{ij}=a_{ij}+b_{ij} \) (определено только при одинаковых размерах)."
"Определение ступенчатой формы (REF) матрицы.","Все нулевые строки внизу; в каждой следующей ненулевой строке первый ненулевой элемент (pivot) расположен правее, чем в предыдущей."
"Как определяется транспонирование матрицы?","Для \( A\in\mathbb{R}^{m\times n} \): \( A^\top\in\mathbb{R}^{n\times m} \) и \( (A^\top)_{ij}=a_{ji} \)."
"Формула элемента \( c_{ij} \) произведения \( C=AB \).","Если \( A\in\mathbb{R}^{m\times n} \), \( B\in\mathbb{R}^{n\times k} \), то \( c_{ij}=\sum_{\ell=1}^{n} a_{i\ell} b_{\ell j} \)."
"Как определяется умножение матрицы на скаляр?","Для \( \lambda\in\mathbb{R} \) и \( A\in\mathbb{R}^{m\times n} \): \( (\lambda A)_{ij}=\lambda a_{ij} \)."
"Как выражается общее решение \( Ax=b \) через частное и однородное?","Если система совместна, то \( x=x_p+x_h \), где \( Ax_p=b \) и \( x_h \) — решение \( Ax=\mathbf 0 \)."
"Назовите три элементарных преобразования строк.","Перестановка строк; умножение строки на ненулевой скаляр; прибавление к строке другой строки, умноженной на скаляр."
