"Сформулируйте аддитивность вероятности для несовместных событий A и B.","Если \(A\cap B=\varnothing\), то \(P(A\cup B)=P(A)+P(B)\).<br>Пример: кость: \(A=\{2,4\}\), \(B=\{5\}\) ⇒ \(P(A\cup B)=1/2\)."
"Перечислите аксиомы Колмогорова для вероятности P.","Неотрицательность: \(P(A)\ge 0\). Нормированность: \(P(\Omega)=1\). Аддитивность: если \(A\cap B=\varnothing\), то \(P(A\cup B)=P(A)+P(B)\)."
"Что такое алгебра, порождённая разбиением \(D=\{D_1,\ldots,D_n\}\)?","Все объединения атомов \(D_i\) и \(\emptyset\): \(\alpha(D)=\{\bigcup_{i\in I}D_i\mid I\subseteq\{1,\ldots,n\}\}\cup\{\emptyset\}\)."
"Что такое алгебра событий на \(\Omega\)?","Семейство подмножеств \(\mathscr{A}\subseteq 2^\Omega\), где \(\Omega\in\mathscr{A}\) и замкнутость: если \(A,B\in\mathscr{A}\), то \(A\cup B,A\cap B,\Omega\setminus B\in\mathscr{A}\)."
"Что называют атомом разбиения \(\mathscr{D}\)?","Любой элемент \(D_i\) разбиения: \(D_i\neq\emptyset\), \(D_i\cap D_j=\emptyset\ (i\ne j)\), \(\bigcup_i D_i=\Omega\)."
"Запишите вероятность ровно \(k\) успехов в \(n\) испытаниях Бернулли с вероятностью успеха \(p\).","\( \displaystyle P(X=k)=\binom{n}{k}p^k(1-p)^{n-k},\ k=0,\ldots,n.\)<br>Пример: \(n=10,k=6,p=\tfrac12\Rightarrow P=\tfrac{210}{1024}\approx0.205\)."
"Что такое вероятностная мера \(P\) на \((\Omega,\mathscr{A})\)?","Функция \(P:\mathscr{A}\to[0,1]\), удовлетворяющая: \(P(A)\ge0\); \(P(\Omega)=1\); если \(A\cap B=\varnothing\), то \(P(A\cup B)=P(A)+P(B)\)."
"Что такое вероятностная модель эксперимента?","Тройка \((\Omega,\mathscr{A},P)\): пространство исходов, алгебра событий, вероятностная мера."
"Дайте определение вероятностного пространства.","Тройка \((\Omega,\mathscr{A},P)\), где \(\Omega\) — исходы, \(\mathscr{A}\) — алгебра событий, \(P\) — вероятность на \(\mathscr{A}\)."
"Какие условия выполняют вероятности исходов \(p(\omega_i)\) в конечном \(\Omega=\{\omega_1,\ldots,\omega_N\}\)?","\(0\le p(\omega_i)\le1\) и \(\sum_{i=1}^{N}p(\omega_i)=1\)."
"Как определяется вероятность события \(A\subseteq\Omega\) через \(p(\omega)\)?","\(P(A)=\sum_{\omega\in A}p(\omega).\)"
"Что означает выбор без возвращения?","Каждый извлечённый элемент не возвращают; повторы невозможны, число доступных вариантов убывает.<br>Пример: из 5 шаров два без возвращения — нельзя получить \([1,1]\)."
"Что означает выбор с возвращением?","Извлечённый элемент возвращают перед следующим выбором; на каждом шаге доступны все \(M\) элементов; повторы возможны.<br>Пример: из 3 шаров два с возвращением возможен \((2,2)\)."
"Запишите формулу для вероятности дополнения события \(A\).","\(P(\bar A)=1-P(A).\)"
"Что такое достоверное событие и его вероятность?","Это всё пространство \(\Omega\); \(P(\Omega)=1\)."
"Сформулируйте законы Моргана для двух событий.","\(\overline{A\cup B}=\bar A\cap \bar B\); \(\overline{A\cap B}=\bar A\cup \bar B\)."
"Что такое исход эксперимента (элементарное событие)?","Один возможный результат; элемент \(\omega\in\Omega\)."
"Классическая формула вероятности при равновозможных исходах?","\(P(A)=\frac{N(A)}{N(\Omega)}=\frac{|A|}{|\Omega|}.\)"
"Как вычислять вероятность при равновозможных исходах через комбинаторику?","Подсчитать \(|\Omega|\) и \(|A|\), затем \(P(A)=|A|/|\Omega|\)."
"Что такое конечное пространство исходов?","\(\Omega=\{\omega_1,\ldots,\omega_N\}\) с конечным \(N\)."
"Сформулируйте монотонность вероятности.","Если \(A\subseteq B\), то \(P(A)\le P(B).\)"
"Что такое невозможное событие и его вероятность?","Пустое множество \(\emptyset\); \(P(\emptyset)=0\)."
"Сформулируйте первое неравенство Бонферрони (для \(n\) событий).","\(\displaystyle \sum_i P(A_i)-\sum_{i<j}P(A_i\cap A_j)\le P\!\left(\bigcup_i A_i\right)\le \sum_i P(A_i).\)"
"Сформулируйте неравенство Буля (union bound).","\(\displaystyle P\!\left(\bigcup_{i=1}^{n}A_i\right)\le \sum_{i=1}^{n}P(A_i).\)"
"Что означает неразличимость объектов в комбинаторике?","Объекты не отличимы; важен лишь состав, порядок не важен (неупорядоченные выборки)."
"Когда события \(A\) и \(B\) несовместны?","Когда \(A\cap B=\varnothing\)."
"Что такое неупорядоченная выборка?","Выборка, где порядок не важен; представляют как \([a_1,\ldots,a_n]\)."
"Что означает объединение событий \(A\cup B\)?","Событие «произошло хотя бы одно из \(A\) или \(B\)»; \(\{\,\omega\in\Omega:\omega\in A\ \text{или}\ \omega\in B\,\}.\)"
"Что означает пересечение событий \(A\cap B\)?","Событие «произошли и \(A\), и \(B\)»; \(\{\,\omega:\omega\in A\ \text{и}\ \omega\in B\,\}.\)"
"Что такое пространство элементарных событий \(\Omega\)?","Множество всех возможных исходов эксперимента."
"Что значит, что исходы равновозможны в конечном \(\Omega\)?","Все \(\omega_i\) имеют одинаковую вероятность: \(p(\omega_i)=1/N\), где \(N=|\Omega|\)."
"Что такое разбиение множества \(\Omega\)?","Система непустых множеств \(D_i\) с \(D_i\cap D_j=\varnothing\ (i\ne j)\) и \(\bigcup_i D_i=\Omega\)."
"Что означает различимость объектов в комбинаторике?","Объекты различимы; порядок важен (упорядоченные выборки)."
"Сколько упорядоченных выборок без возвращения из \(M\) по \(n\)?","\((M)_n=\dfrac{M!}{(M-n)!}.\)"
"Сколько упорядоченных выборок с возвращением из \(M\) по \(n\)?","\(M^n.\)"
"Что такое разность событий \(A\\setminus B\)?","\(\{\,\omega\in\Omega:\omega\in A,\ \omega\notin B\,\}=A\cap \bar B.\)"
"Что такое распределение Бернулли Bern(p)?","\(P(X=1)=p,\ P(X=0)=1-p.\)"
"Запишите формулу для \(P(A\cup B)\) через \(P(A),P(B),P(A\cap B)\).","\(P(A\cup B)=P(A)+P(B)-P(A\cap B).\)"
"Что такое событие в теории вероятностей?","Подмножество \(\Omega\); происходит, если реализовался \(\omega\in A\)."
"Сколько неупорядоченных выборок без возвращения из \(M\) по \(n\)?","\(\displaystyle C_M^n=\binom{M}{n}=\dfrac{M!}{n!(M-n)!}.\)"
"Сколько неупорядоченных выборок с возвращением из \(M\) по \(n\)?","\(\displaystyle C^n_{M+n-1}=\binom{M+n-1}{n}.\)"
"Сколько микросостояний у \(n\) неразличимых бозонов на \(M\) уровнях?","\(\displaystyle C^n_{M+n-1}.\)"
"Сколько микросостояний у \(n\) различимых частиц на \(M\) уровнях (без запрета)?","\(M^n.\)"
"Сколько микросостояний у \(n\) неразличимых фермионов на \(M\) состояниях (с запретом)?","\(\displaystyle C_M^n.\)"
"Что означает запись \(A+B\) для событий?","Дизъюнктное объединение при \(A\cap B=\varnothing\); тогда \(P(A+B)=P(A)+P(B).\)"
"Какова вероятность ровно \(k\) успехов в схеме Бернулли \((n,p)\)?","\(\displaystyle \binom{n}{k}p^k(1-p)^{n-k}.\)"
"Что такое тривиальная алгебра на \(\Omega\)?","\(\{\emptyset,\Omega\}.\)"
"Что такое упорядоченная выборка?","Выборка, где порядок важен; записывают \((a_1,\ldots,a_n)\)."
"Сформулируйте формулу включений–исключений для трёх событий.","\(P(A\cup B\cup C)=P(A)+P(B)+P(C)-P(AB)-P(AC)-P(BC)+P(ABC).\)"
"Что такое эксперимент (испытание) в вероятности?","Повторяемый процесс с конечным множеством исходов \(\Omega\) при заданных условиях."
"Что такое элементарное событие?","Неделимый исход; точка \(\omega\in\Omega\)."
"Что изучает элементарная теория вероятностей?","Вероятностные модели с конечным числом исходов: \((\Omega,\mathscr{A},P)\)."
